activity_id,org_id,name,duration,group_size,interaction_type,activity_format,participation_type,difficulty_level,movement_required
1,1,Dance Session Workshop,-64.0,1,Indiv,Digital,VOL,MEDIUM,0
2,1,Robotics Lab Workshop,10.0,1,Individual,Physical,VOLUNTARY,Low,1
3,1,Drama Workshop Club,52.0,14,Group,Physical,Assigned,Hard,1
4,1,Chess Tactics Workshop,48.0,2,  2-person  ,Hybrid,Voluntary,  level 1  ,1
5,1,Drama Workshop Track,56.0,2,Pair,Hybrid,  Opt-in  ,level 1,0
6,1,Drama Workshop Workshop,10.0,2,Pair,HYBRID,VOL,Easy,1
7,1,Dance Session Track,36.0,6, Grp ,Digital,opt in,Easy,0
8,1,Creative Writing Program,61.0,1,Individual,Digital,Voluntary,Hard,1
9,1,Drama Workshop Track,20.0,2,Pairs,Hybrid,Voluntary,level 1,0
10,1,Coding Basics Session,70.0,8,group work, Digital ,VOL, Moderate ,0
11,1,Creative Writing Session,57.0,,Grp,Hybrid,Voluntary,Medium,0
12,1,Gardening Session,12.0,12, Grp ,Digital,Assigned,Low,0
13,1,Nature Walk Program,28.0,1,INDIVIDUAL, Physical ,voluntary,easy,1
14,1,Mindfulness Session,-34.0,1,individual ,Digital,Assigned,Easy,0
15,1,Math Games Track,59.0,1,Individual,Digital,Voluntary,level 3,
16,2,Board Games Club,35.0,9,Group,Physical,Mandatory,level 2,1
17,2,Dance Session Workshop,30.0,1,Indiv,Physical,voluntary,Moderate,1
18,2,Chess Tactics Module,38.0,7,group,Online,VOL,level 2,1
19,2,Reading Club Lab,51.0,9,GROUP,Offline,Voluntary,Med,1
20,2,Debate Club Session,59.0,12,Group,Offline,voluntary,High,1
21,2,Reading Club Club,60.0,1, individual ,Blended,  Assigned  ,Hard,0
22,2,Puzzle Challenge Workshop,41.0,1,individual ,  Hybrid  ,Voluntary,Medium,0
23,2,Team Sports Track,41.0,1,Individual,Hybrid, Assigned , Medium ,0
24,2,Nature Walk Session,<1,10,Group,Digital,Voluntary,MEDIUM,0
25,2,Team Sports Session,53.0,2,pair,Online,Opt-in,  Hard  ,0
26,2,Cooking Basics Workshop,28.0,1,individual,Hybrid, Assigned ,Easy,0
27,2,Puzzle Challenge Club,44.0,15,Grp,Hybrid,Voluntary,level 1,0
28,2,Storytelling Lab,45.0,14,GRP,HYBRID,VOLUNTARY,E,0
29,2,Robotics Lab Track,36.0,2,Pair, Physical ,VOL,Easy,1
30,2,Cooking Basics Lab,40.0,2,PR,Physical, Opt-in , Hard ,1
31,2,Debate Club Workshop,38.0,2,PR,PHY,Voluntary,  MEDIUM  ,1
32,2,Coding Basics Workshop,55.0,2,PR,Physical,Voluntary,Easy,1
33,2,Mindfulness Lab,53.0,1,Individual,PHY,opt in,level 3,1
34,2,Animation Studio Program,48.0,2,Pair,  Digital  ,opt in,Easy,1
35,2,Creative Writing Workshop,21.0,5,  Group  ,PHY,ASG,Unknown,1
36,2,Debate Club Track,28.0,10,Group,mixed,Voluntary, Medium ,0
37,2,Origami Workshop,30.0,2, Pair ,Physical,VOL,Easy,1
38,2,Science Experiment Workshop,31.0,1,Individual,Online, Assigned ,Easy,0
39,2,Board Games Module,26.0,1,Individual,  Online  ,ASSIGNED,Easy,
40,2,Drama Workshop Workshop,n/a,1,  Individual  , Digital ,Voluntary,Medium,0
41,2,Origami Workshop,<1,1,Individual,online,Voluntary,Low,
42,2,Chess Tactics Track,36.0,1,Individual,  hybrid  ,voluntary,level 2,0
43,2,Puzzle Challenge Session,,1,Individual, Physical ,Opt-in,?,0
44,2,Coding Basics Session,37.0,1,  individual   ,Physical,Voluntary,Medium,1
45,3,Lego Build Session,46.0,8,Group,Physical,Voluntary, easy ,1
46,3,Animation Studio Session,32.0,1, Individual ,physical,unknown,EASY,1
47,3,Storytelling Workshop,40.0,,  Pair  ,HYBRID,Assigned,Medium,0
48,3,Science Experiment Track,55.0,7,Group,DIG,Voluntary,MEDIUM,0
49,3,Memory Training Club,54.0,2,pair,Hybrid,Opt-in,Easy,0
50,3,Debate Club Module,19.0,1,IND,Hybrid,opt in,Low,1
51,3,Drawing Studio Club,36.0,1,Individual,HYB,Opt-in,easy,1
52,3,Storytelling Module,65.0,16,Group,Physical,Voluntary,MEDIUM,1
53,3,Drawing Studio Lab,59.0,1,INDIVIDUAL,Hybrid,Voluntary,Easy,0
54,3,Board Games Workshop,54.0,6,GROUP,PHY,Voluntary,Easy,0
55,3,Debate Club Lab,66.0,7,group work,Physical,VOLUNTARY,Medium,1
56,3,Math Games Club,61.0,2,Pair,mixed,ASSIGNED,Medium,1
57,3,Music Circle Module,24.0,,Individual,PHY,Opt-in,Medium,1
58,3,Creative Writing Module,24.0,1,Individual, Digital ,Opt-in,level 1,0
59,3,Puzzle Challenge Session,64.0,14,group,Physical,mandatory,level 2,1
60,3,Coding Basics Program,55.0,,Individual,Digital,VOLUNTARY,Difficult,
61,3,Drama Workshop Session,34.0,,Individual,HYB, voluntary ,Medium,1
62,3,Reading Club Module,38.0,9, Group ,PHY,Voluntary,Low,1
63,3,Board Games Module,80.0,10,Group,physical,Voluntary,Unknown,
64,3,Photography Club,39.0,1,IND,?,Mandatory,  Hard  ,
65,3,Coding Basics Module,52.0,4,Group,DIG,VOL,Easy,1
66,3,,43.0,1,individual ,Hybrid,VOLUNTARY,Easy,1
67,3,Board Games Track,38.0,4,Group,HYBRID,Opt-in,Med,0
68,744,Gardening Club,72.0,4,GRP, Hybrid ,Voluntary,Difficult,0
69,3,Board Games Program,-33.0,2,Pair,,Voluntary,  level 1  ,1
70,3,Debate Club Session,56.0,2,PR,HYBRID,Voluntary,  Medium  ,1
71,3,Math Games Track,36.0,2,Pair,online, Opt-in ,Moderate,0
72,3,Team Sports Session,24.0,8,,Physical,Assigned, Easy ,1
73,3,Music Circle Module,31.0,11,Group,Hybrid,Voluntary,Low,1
74,3,Origami Club,40.0,,Group,mixed,VOLUNTARY,Easy,1
75,3,Animation Studio Program,39.0,12,GROUP,  PHYSICAL  ,Voluntary,Medium,1
76,3,Robotics Lab Workshop,47.0,6,GRP,Digital,Opt-in,  Easy  ,0
77,3,Lego Build Session,58.0,15,Group, Digital ,ASSIGNED, Easy ,0
78,3,Music Circle Track,27.0,2,Pair,Physical,ASSIGNED, Easy ,1
80,3,Storytelling Lab,41.0,12,Group,Hybrid,Voluntary, Medium ,1
81,3,Cooking Basics Module,48.0,8,group work,PHYSICAL,VOL,Easy,
82,3,Board Games Club,41.0,13,GRP,Blended, voluntary ,level 1,
83,3,Creative Writing Session,35.0,9,Group,Hybrid,Voluntary,E,0
85,3,Memory Training Club,39.0,,Individual,DIGITAL,Voluntary,Easy,0
86,3,Origami Workshop,43.0,8,Group,hybrid, voluntary ,level 1,1
87,3,Drawing Studio Track,59.0,1,Individual,HYBRID,Voluntary,Hard,1
88,3,Cooking Basics Club,52.0,6, Grp ,Physical,voluntary,Easy,1
