child_id,sleep_duration,screen_time,gaming,social_media_usage,outdoor_time,study_time,free_play
1,9.90,2.0,,0.70,2.00,2.00,3.20
2,9.50,3.5,1.30,1.50,2.00,2.20,3.80
3,9.80,1.1,0.00,1.10,1.20,3.10,3.20
4,7.50,300.0,30.00,60.00,3.60,,0.70
5,10.50,0.0,0.00,0.30,2.40,1.70,2.50
6,9.00,0.0,0.00,0.00,3.50,2.00,2.00
7,10.50,3.4,0.20,1.20,1.50,4.00,2.30
8,9.00,4.4,0.10,0.00,5.50,2.00,4.50
9,11.60,0.5,0.20,0.60,3.00,1.50,3.70
10,9.30,126.0,48.00,0.60,2.20,2.60,3.80
11,,2.6,1.30,0.50,3.00,3.00,2.40
12,10.50,2.6,1.00,1.00,2.00,0.00,4.60
13,9.50,5.0,0.90,,0.90,0.50,4.00
14,10.40,2.4,0.30,0.10,1.40,2.20,4.50
15,10.60,2.5,0.00,0.70,4.50,0.90,2.50
16,9.50,4.5,1.10,,0.50,3.00,3.50
17,9.00,<1,0.20,0.00,4.10,2.50,2.50
18,9.50,5.0,0.80,1.00,3.00,2.00,2.50
19,9.40,2.1,0.40,,2.00,2.00,3.50
20,10.00,138.0,18.00,0.00,2.00,2.50,4.00
21,9.00,5.0,0.70,0.10,2.30,3.20,3.00
22,9.80,78.0,78.00,0.00,1.50,,2.30
23,9.50,4.0,1.20,2.00,2.00,3.00,2.60
24,9.80,1.0,1.50,0.00,3.50,2.10,4.50
25,9.50,2.4,0.40,0.70,2.00,3.30,0.90
26,9.00,3.9,0.70,1.10,2.30,4.50,2.00
27,7.80,,0.00,0.90,0.90,4.50,1.00
28,9.50,6.6,1.00,0.40,1.20,,3.00
29,9.60,3.5,1.00,,3.20,2.00,3.50
30,10.20,4.0,0.60,0.00,1.00,1.00,3.80
31,9.70,5.2,1.10,0.00,2.00,3.00,2.50
32,8.00,1.4,0.50,1.20,1.60,3.20,
33,7.70,4.0,0.00,0.70,0.90,3.50,4.40
34,11.00,1.8,0.50,0.20,3.00,2.00,2.80
35,10.50,0.4,0.00,0.20,2.40,0.80,4.00
36,10.50,120.0,84.00,0.00,3.30,0.80,4.30
37,11.80,2.0,0.60,,2.00,0.50,4.90
38,11.70,180.0,12.00,18.00,1.50,2.50,2.90
39,8.50,1.5,0.50,0.20,3.00,4.00,1.70
40,8.50,150.0,0.00,0.40,3.20,3.30,2.10
41,8.50,,0.50,2.40,3.00,3.70,0.00
42,10.00,3.5,0.40,1.70,2.50,2.60,2.60
43,9.70,126.0,54.00,0.40,2.00,0.10,2.10
44,7.00,2.0,,0.90,3.00,2.50,2.00
45,11.80,2.2,,0.50,2.00,3.80,1.50
46,7.50,,,0.00,0.90,4.20,1.50
47,9.20,0.8,1.10,0.00,2.90,1.80,2.60
48,11.50,not recorded,1.00,0.70,1.00,3.00,1.50
49,10.00,2.8,0.80,,4.50,2.50,1.50
