org_id,name,type
1,Lotus Learning Community Center 001,Community_Center
2,HORIZON JUNIOR CAMP 002,
3,Riverside Junior After-School Program 003,After-School Program
4,Bright Growth Community Center 004,Community_Center
5,Summit Learning School 005,SCHOOL
6,Summit Junior NGO 006,NGO
7,  Bright Junior Community Center 007 , Community Center  
8,Silver Kids Community Center 008,
9,  Delta Children School 009 ,School
10,Maple Junior Camp 010,Camp
11,Blue Lake Youth Camp 011,Camp
12,Sunrise Kids After-School Program 012,After-School_Program
13,Blue Lake Growth Community Center 013,Community Center
14,Green Youth After-School Program 014, After-School Program  
15,Oakwood Children Camp 015,camp
16,Riverside Youth School 016,School
17,NORTHGATE KIDS CLINIC 017,Clinic
18,Lotus Learning School 018,SCHOOL
19,Nile Junior After-School Program 019,AFTER-SCHOOL PROGRAM
20,CRESCENT GROWTH COMMUNITY CENTER 020,Community Center
21,Blue Lake Learning Community Center 021,Community Center
22,Lotus Kids Camp 022,Camp
23,Lotus Growth NGO 023,NGO
24,Maple Youth After-School Program 024,After-School Program
25,Maple Children Community Center 025,Community Center
26,  Nile Children School 026 , School  
27,Silver Growth Camp 027,Camp
28,HORIZON JUNIOR SCHOOL 028,School
29,Aurora Youth School 029,School
30,Northgate Junior Community Center 030,Community Center
31,Northgate Youth Community Center 031,-
32,Falcon Learning NGO 032,NGO
33,  Falcon Junior School 033 ,School
34,Cedar Kids Camp 034,Camp
35,HARBOR KIDS CAMP 035,n/a
36,Horizon Learning School 036,School
37,Delta Kids School 037,School
38,Blue Lake Children Camp 038,Camp
39,Maple Children School 039,School
40,Maple Discovery Community Center 040,Community Center
41,Pioneer Discovery Camp 041,Camp
42,Falcon Learning After-School Program 042, After-School Program  
43,  Falcon Youth Community Center 043 ,Community_Center
44,  Silver Discovery School 044 ,School
45,Sunrise Growth After-School Program 045,After-School Program
46,Sunrise Growth After-School Program 046,After-School_Program
47,Silver Junior Camp 047,Camp
48,Aurora Youth School 048,School
49,  Bright Children Community Center 049 ,Community Center
50,  Lotus Discovery School 050 ,School
51,  Nile Junior School 051 ,School
52,Aurora Youth School 052,
53,  Aurora Kids Community Center 053 ,Community Center
54,Oakwood Learning Community Center 054,Community Center
55,  Crescent Youth Community Center 055 ,?
56,Falcon Growth Community Center 056, Community Center  
57,Green Growth Camp 057,CAMP
58,  Falcon Growth Clinic 058 ,CLINIC
59,Horizon Junior School 059,School
60,Maple Learning School 060,School
61,Riverside  Junior  After-School  Program  003,After-School Program
62,Falcon  Growth  Clinic  058,Clinic
63,NILE JUNIOR AFTER-SCHOOL PROGRAM 019,
64,Blue  Lake  Learning  Community  Center  021,Community Center
65,Summit  Junior  NGO  006,NGO
66,  Aurora Youth School 048 ,School
67,lotus learning school 018,school
