preference_id,name,category
1,Individual,interaction_type
2,Pair,interaction type
3,Group,interaction_type
4,Digital,activity_format
5,Physical,activity format
6,Hybrid,activity_format
7,Easy,difficulty level
8,Medium,difficulty_level
9,Hard,difficulty_level
10,Storytelling,topic
11,Robotics Lab,topic
12,Puzzle Challenge,topic
13,Music Circle,topic
14,Drawing Studio,topic
15,Coding Basics,topic
16,Team Sports,topic
17,Science Experiment,topic
18,Math Games,topic
19,Drama Workshop,topic
20,Reading Club,TOPIC
21,Chess Tactics,topic
22,Gardening,topic
23,Lego Build,topic
24,Memory Training,
25,Dance Session,topic
26,Creative Writing,topic
27,Nature Walk,
28,Board Games,topic
29,Origami,TOPIC
30,Cooking Basics,topic
31,Mindfulness,
32,Debate Club,topic
33,Photography,topic
34,Animation Studio,topic
35,High Movement,movement
36,Low Movement,movement
37,Short Sessions,SESSION_LENGTH
38,Long Sessions,session_length
39,  Math Games,topic
40,pair,interaction_type
41,  Memory Training,topic
42,origami,TOPIC
43,  Chess Tactics,topic
