child_id,org_id,enrollment_date
1,4,2025-03-13
2,31,1970/01/01 00:00:00
3,55,2025-02-25
3,47,2025-03-08
4,29,2025-03-27
4,12,2024-11-04
4,11,11/04/2025
5,31,2025-03-21
6,57,2025-06-26
7,35,06-29-2025
7,12,"March 11, 2024"
7,10,2024-03-17
8,22,2024-07-24
8,35,2024-12-26
9,51,2024-08-27
10,40,2024-11-16
11,5,2024-07-19
12,38,2024-11-14
13,7,2025-01-20
14,27,2024-09-21
15,26,2027-12-22
16,1,22 Jan 2025
17,31,2024-09-25
18,52,2025-06-01
19,36,07-02-2025
113071,15,2024-09-28
20,43,N/A
20,54,
21,50,03 Apr 2025
22,19,2025-01-08
22,32,2025-05-25
23,17,0000-00-00
24,53,1899-12-30
24,10,2025-06-14
25,20,14/05/2024
26,30,31/02/2025
27,26,2025-01-21
28,53,2024-10-28
28,29,2024-06-28
28,31,2024-12-16
29,14,2024-05-18
30,29,2025-04-25
31,57,2025-05-11
32,48,01-06-2024
33,57,2024-07-29
34,18,2024-06-24
34,7,2024-09-20
35,48,2024-12-21
35,22,2025-07-25
35,27,2024-10-06
142270,33,2025-07-26
37,29,06-21-2024
38,12,2024-12-17
39,42,2024-01-27
40,19,25 Sep 2024
40,35,2025-04-10
40,4,2024-02-25
41,44,2025-05-09
42,31,1970-01-01
43,42,07 Nov 2024
43,16,
43,44,2024-11-15
44,34,"June 30, 2025"
45,14,2025-01-13
45,26,2025-01-23
46,41,2025-08-07
47,30,2024-11-18
48,28,2024-10-08
48,44,2025/01/12 00:00:00
48,7,2025-05-09
49,50,2024-10-28
50,20,2024-07-05
50,3,2025-03-21
50,44,04-28-2024
51,32,2024-02-17
51,54,1970-01-01
52,27,2029-12-31
53,30,
54,17,2024-08-01
54,32,2025-07-06
55,13,2024-11-05
56,25,2025-01-30
56,41,2024-04-28
57,2,2025-04-23
57,28,2024-12-03
186538,29,
59,18,2025-04-15
59,5,2024-03-01
59,44,2024-03-02
60,18,2024-12-03
61,23,2025-03-09
62,17,"March 31, 2025"
63,36,07-21-2025
64,50,2024/08/06 00:00:00
65,6,10 Oct 2024
66,50,2024-05-19
67,10,
67,6,24/07/2025
67,26,2025-01-03
68,36,2024-09-18
68,35,2025-05-31
68,27,2025-08-12
69,11,2024-09-01
70,31,2024-04-03
71,37,2024-06-15
71,32,2025-06-20
71,14,2024-10-16
72,40,2024-05-21
72,3,24/05/2025
72,9,2025-03-29
73,39,2025-02-07
73,25,20 Jan 2025
74,17,2024-12-27
75,30,2025-01-05
76,17,2024-11-07
77,13,2025-05-06
77,30,2024-09-18
77,18,2024-06-15
78,35,19 Feb 2025
79,17,2024-03-19
79,31,11 Sep 2024
80,54,2024-09-18
80,2,0000-00-00
80,1,
81,14,2025-03-16
82,32,2025-04-15
83,37,2024-05-27
83,12,2024-07-26
83,29,2024-08-10
84,53,2025-05-27
84,54,2025/03/08 00:00:00
85,29,2024-07-15
86,16,2024-08-26
87,49,2024-10-28
87,32,2024-07-08
87,28,2025-03-16
88,11,2024-12-28
89,30,2024-11-01
89,31,2024-10-31
89,27,2024-11-16
90,32,2024-08-04
91,3,2025-03-06
92,29,07-05-2025
93,17,2025-01-29
94,51,2024-07-21
95,25,2024-09-30
95,45,2024-07-17
96,40,2025-13-05
97,4,2024-05-21
98,29,2024-11-15
99,4,2024/05/18 00:00:00
100,36,2024-05-18
100,31,1970-01-01
101,29,2024-08-12
102,27,2024-07-11
103,18,2025-02-20
103,48,2024-09-03
