session_id,child_id,activity_id,session_date,avg_attention_duration,response_time,task_completion_rate,engagement_score,number_of_attention_shifts
1,8860,448,2025-01-09,642.83,,53.25,59.70,12
2,6725,445,2025-03-15,627.07,12.06,59.74,77.17,8
3,6307,295,10-10-2025,454.73,3.65,82.20,88.52,16
5,9684,1215,2025-08-25,502.46,3.22,61.30,70.29,5
6,10779,115,2024-11-12,230.53,9.37,44.12,54.95,18
7,1059,295,2026-01-15,,2.13,56.21,63.58,19
8,11861,1470,2025/11/20 00:00:00,403.3,3.88,54.34,62.06,11
9,6730,346,02/11/2026,840.33,4.68,54.26,68.51,9
10,7605,6,2025-05-20,,-11.0,32.26,28.13,15
11,9199,1332,2030-03-23,,7.98,51.49,167.52,8
12,11010,611,17/01/2026,381.93,15.71,57.73,,9
13,9440,786,2025-05-01,TBD,7.27,79.59,94.16,6
14,3610,1351,2026-03-11,443.73,6.04,68.98,83.49,
16,8860,404,2025-10-19,576.07,4.04,36.18,36.01,7
17,8897,303,2025-11-20,280.17,-2.32,56.46,73.07,11
18,2854,718,2025-06-09,548.82,4.11,63.92,63.11,
19,5816,867,2025-12-28,802.57,3.28,74.96,63.61,9
20,11483,854,2025-02-24,696.27,7.65,54.97,57.42,16
21,1026,286,2024-10-30,503.53,5.6,57.35,68.40,13
22,9849,861,"January 15, 2026",256.71,5.06,64.28,70.23,9
23,1530,890,2024-08-21,886.01,7.82,54.71,59.99,6
24,4376,224,N/A,705.21,15.35,37.58,36.21,16
25,295,1031,2025-07-05,705.26,6.4,59.48,69.96,13
26,7481,278,2025-08-28,870.86,5.53,62.24,60.59,11
27,2215,1011,2025-01-16,6.75,-9.39,28.66,48.31,20
28,7989,202,"April 05, 2026",542.6,3.08,62.95,76.83,12
29,7908,26,2025-06-13,802.35,5.52,,67.39,14
30,3645,1220,01-16-2026,580.5,6.76,41.02,53.91,15
31,4564,404,2025-04-30,531.89,7.1,39.01,49.94,9
32,5313,1366,2025-03-21,464.16,12.17,44.06,58.11,10
33,11069,708,03-31-2026,,8.98,62.85,67.73,11
34,11558,343,2025-02-18,865.7,5.33,58.23,64.99,8
35,6228,1111,2025-05-05,6.11,3.54,64.52,310.50,7
36,1997,1099,2025/05/16 00:00:00,364.05,2.75,58.64,62.99,9
37,871,410,2025-03-26,164.21,2.81,56.64,55.70,13
38,9445,962,2025/09/01 00:00:00,788.56,11.42,68.27,70.14,9
39,8966,298,2025-03-30,533.11,13.78,49.22,50.81,8
40,7117,106,2026-03-02,398.96,8.6,69.99,78.19,11
41,3376,1192,2025-11-16,724.88,4.47,54.99,62.19,15
42,2499,619,2025-04-30,519.69,4.44,31.40,43.81,11
43,5634,995,09/03/2026,12.52,5.5,82.52,79.95,12
44,7345,865,"March 17, 2026",582.84,7.11,52.25,54.91,10
45,10002,36168,2026-03-04,5.9,1.74,77.25,77.01,17
46,9499,967,2025-03-14,545.84,9.52,67.65,72.70,3
47,2505,831,2025-12-30,612.19,15.36,58.15,58.34,20
48,3687,209,2026-01-17,,6.85,66.67,74.11,
49,9529,786,2025-06-23,588.31,>60,73.49,87.48,9
50,6239,760,2025-07-21,603.54,,45.92,69.09,14
51,4148,980,10 May 2025,490.9,2.57,86.92,97.17,3
52,4784,287,2025-04-26,729.77,10.33,54.49,62.30,14
53,8804,439,01-12-2026,441.95,9.34,67.67,-10.40,12
56,9014,355,03 Apr 2026,503.1,7.0,55.39,58.83,14
57,7060,383,2026-03-15,483.14,10.0,,70.30,22
58,9473,118,2025-10-25,481.14,5.19,47.94,57.31,12
59,3248,1457,09/03/2025,491.3,10.78,55.21,61.55,10
60,7325,246,2024-12-30,506.89,4.26,66.65,78.81,17
61,7125,157,2025-10-28,785.77,12.86,65.22,79.02,9
62,6126,718,2024-07-05,144.95,7.07,40.16,51.56,22
63,9939,728,2026-03-09,713.66,6.51,59.43,67.53,5
64,10963,1199,2025-01-11,540.14,9.23,38.33,27.75,19
65,8070,607,2025-03-11,321.2,9.04,39.62,45.99,26
66,2638,1244,2024-07-17,648.79,TBD,56.96,61.12,8
67,7443,238,2025-11-05,278.8,11.48,54.97,73.80,27
68,3577,822,N/A,240.88,>60,48.10,54.80,14
69,10364,251,2025-10-15,166.57,13.3,55.83,46.78,
70,4005,381,2026-03-19,684.86,6.61,68.59,81.23,11
71,10671,1099,2025/10/17 00:00:00,714.17,2.12,44.45,49.27,7
72,290,564,"October 19, 2025",584.01,7.61,50.15,61.42,9
73,8032,614,2025-08-26,625.13,9.67,66.65,69.26,9
74,10044,1036,2025-03-12,526.85,2.97,52.05,41.25,10
75,7770,54,,810.63,8.25,54.20,69.00,15
76,10386,151,11/06/2025,339.23,7.72,53.20,79.94,13
77,10384,838,07-11-2025,757.62,15.84,47.92,41.84,7
78,3274,105,2025-06-14,605.11,18.73,43.33,65.62,12
79,427,325,2025-07-28,466.78,21.19,61.59,65.05,11
80,238,1210,25 Jan 2025,566.11,10.31,67.53,66.46,12
81,8309,550,2025-11-16,582.24,8.91,82.80,97.29,5
82,3831,460,2026-03-09,544.5,4.6,51.69,,15
83,9111,434,2025-06-01,494.48,9.28,61.53,77.37,11
84,774,1487,2025-06-19,653.32,9.22,53.39,63.66,9
85,1878,390,2025-10-02,106.41,13.64,34.53,58.01,21
86,3715,331,2025-02-01,942.46,5.19,44.76,40.00,4
87,6037,272,01-27-2026,394.95,2.91,55.71,38.50,13
88,10174,307,0000-00-00,<1,6.06,52.52,42.43,
89,1253,770,2024-10-06,765.96,8.91,52.44,68.45,17
90,8618,603,20/01/2025,4.79,4.55,23.20,36.44,23
91,11017,582,11-19-2025,642.81,7.82,60.40,62.85,12
92,8772,1127,2026-01-26,507.33,13.45,39.44,40.62,16
93,11335,101,2025-07-28,409.58,8.04,51.71,69.33,18
94,6723,1017,30/07/2025,--,11.71,84.13,74.89,8
95,8220,827,2025-11-24,243.18,6.9,56.00,,13
96,9762,201,2025-11-25,899.3,6.24,44.75,60.08,7
97,9299,280,2026-01-04,545.8,8.87,57.05,49.50,12
98,6262,1208,2026/04/16 00:00:00,361.84,5.89,34.84,44.99,15
99,4281,835,2025-05-04,743.45,2.44,52.16,45.71,10
100,9638,878,2025-10-03,TBD,14.69,74.55,82.13,18
101,8416,686,2026-01-06,580.48,4.85,91.10,91.16,10
102,11516,335,2025-09-15,738.66,7.32,49.79,47.36,12
103,4389,853,2025-06-14,570.73,6.56,57.98,60.33,-8
104,4391,1355,25 Sep 2025,295.87,5.64,55.68,53.22,14
105,10309,598,23/07/2025,625.51,0.64,38.63,54.88,17
106,237,375,17 Aug 2025,404.3,4.65,32.25,58.09,-2
107,1673,357,08-29-2025,475.26,10.7,68.17,70.12,10
108,9872,56,2025-08-04,883.05,4.85,68.61,69.94,
109,7114,43,25 Oct 2024,799.38,8.9,57.88,50.91,9
110,401,1000,2025-01-11,10.04,5.16,64.82,64.83,10
111,5510,198,"November 01, 2025",614.39,5.32,65.08,71.78,13
112,1775,1498,2025-09-16,591.85,4.02,60.41,66.13,10
113,5587,388,2025/02/13 00:00:00,482.56,2.77,58.24,45.38,10
114,1052,1097,2025-06-21,516.72,6.25,66.16,83.86,9
115,1400,1360,2025/08/05 00:00:00,816.66,2.76,64.22,78.34,13
116,3283,1497,2025-08-07,848.52,1.9,51.72,61.15,16
117,2546,1007,2026-01-09,9.48,7.8,55.70,58.78,8
118,8519,587,2025-03-20,629.39,7.43,58.55,51.86,9
119,1580,737,09-02-2025,453.85,1.99,56.38,53.72,11
120,1423,1256,2024-12-17,766.21,10.41,53.39,53.78,12
121,11866,1481,2025-09-02,807.34,1.21,56.10,72.84,9
122,8433,232,11-16-2025,780.29,5.95,78.44,90.12,9
123,2494,252,2025-08-04,319.56,2.25,37.99,48.95,18
124,11202,1195,2025-11-20,597.99,4.57,57.26,66.51,10
125,9965,41,2026-02-26,--,5.77,63.88,52.39,14
126,7711,1195,2025-11-10,815.91,2.67,86.44,76.33,4
127,5881,49925,2025-10-31,458.87,11.53,79.43,83.38,12
128,9849,359,2025/12/17 00:00:00,323.63,16.43,71.75,86.87,11
129,6759,155,2025-09-16,495.2,2.54,70.63,91.18,12
130,11114,1100,2025-01-30,554.64,9.7,,57.38,9
131,7227,730,2025-08-25,581.34,5.82,41.15,43.61,17
132,31911,211,2026-01-07,706.5,,49.31,103.36,8
133,5032,344,2029-03-09,412.46,2.68,68.06,78.60,16
134,580,322,08 Jan 2025,701.84,3.67,36.84,38.07,17
135,9033,575,2024-10-25,465.78,7.76,45.81,54.56,21
136,1788,1117,2025-04-07,9.98,3.11,60.91,74.63,13
138,7630,1255,2026-01-31,634.67,5.03,50.58,58.44,15
139,1063,408,2025-10-06,333.67,3.2,44.24,55.88,13
140,10823,455,2025-12-18,360.76,,46.55,71.65,12
141,4954,702,2024-12-09,639.07,7.12,58.98,46.68,12
142,11599,1481,2025-10-14,745.05,9.08,47.09,56.70,14
143,7267,1182,2025-03-07,538.14,3.64,38.34,41.90,10
144,10544,1447,08-01-2025,708.61,5.98,71.23,87.98,7
145,9569,819,03 Aug 2025,719.62,1.46,64.89,91.15,8
146,11955,1183,2025-03-20,833.46,1.45,48.75,47.17,15
147,9737,1261,29 Jan 2025,687.66,2.56,75.46,77.82,3
148,9947,966,2026-01-20,656.79,12.68,42.70,56.83,17
149,8788,1105,"October 15, 2025",212.08,7.97,40.38,52.52,13
150,10811,825,2025-05-12,956.45,2.81,48.72,59.64,14
152,1738,673,2026-03-06,598.79,3.61,47.04,62.80,11
154,9865,455,2026-02-08,706.15,1.62,63.03,72.45,5
155,6218,215,12-28-2025,850.72,8.46,40.16,35.06,14
156,369,54,2025-04-02,412.05,0.71,74.95,82.03,9
157,2722,689,N/A,473.02,1.98,65.82,73.49,5
158,3783,1452,2025-09-23,492.5,8.23,41.28,59.44,13
160,2315,4938,09-28-2025,660.17,-11.76,91.99,92.05,12
161,8547,1427,2025-01-03,492.5,5.8,39.27,59.02,21
162,11577,875,2025-08-31,658.24,6.84,,58.95,14
163,3513,1140,2025-12-21,610.06,7.86,53.17,52.95,7
164,3377,1314,2025-04-06,811.86,3.98,43.31,51.75,16
165,6169,1350,2025-05-17,654.03,9.98,52.40,63.65,11
166,77,290,01-04-2026,388.49,3.7,55.37,53.85,13
167,269,528,2025-10-23,510.73,12.47,50.65,71.58,15
168,5022,869,2025-06-04,587.13,-1.59,50.42,64.27,16
169,4328,1218,05-21-2025,673.26,6.03,54.67,61.39,10
170,10059,455,2024-11-16,760.81,n/a,70.68,77.76,12
171,6185,643,2025-09-21,11.05,6.05,80.41,76.10,7
172,5462,392,2024-12-05,170.86,>60,35.60,30.97,20
173,1968,898,2026-01-07,11.97,2.56,53.23,67.96,13
174,9917,1457,02 Mar 2025,473.32,3.71,75.92,85.40,7
175,4954,703,0000-00-00,601.16,8.59,51.00,41.91,15
176,10583,262,2025-06-10,790.26,4.09,46.74,53.95,14
177,3567,1260,2026-03-20,839.12,10.46,98.53,97.71,0
178,3332,5,2025-10-14,3.37,15.94,46.25,54.34,17
179,1121,658,2026-01-05,8.63,5.33,52.30,47.91,14
180,4869,588,2024/03/26 00:00:00,TBD,12.5,50.53,59.27,8
181,9976,1072,2024-12-26,468.65,7.52,40.74,46.01,19
182,10114,1107,2025-10-20,9.45,2.0,,100.00,4
183,1544,732,2025-05-19,23278.53,11.02,61.60,,13
184,142,1471,2026-04-04,489.61,2.73,80.07,88.42,12
185,4772,834,2025-11-23,396.83,5.2,54.15,62.66,12
186,5797,112,05-08-2025,649.13,3.13,81.83,91.40,9
187,5259,144,2025-09-22,685.55,3.79,57.60,68.27,-6
188,9076,1184,12/03/2026,661.25,9.61,67.49,66.97,8
189,316,105,22 Jun 2025,450.49,6.79,62.02,81.29,17
190,3037,1102,2024-08-11,n/a,9.87,57.68,59.60,7
191,4606,1363,2025-04-16,778.04,7.1,64.78,51.26,4
192,11817,348,2025-02-27,250.93,8.05,59.45,62.79,19
194,8467,652,11 Dec 2024,4.24,6.01,50.30,58.96,18
195,6641,617,2026-01-17,680.78,7.12,49.75,57.18,16
196,8104,806,2025/02/23 00:00:00,566.73,20.51,41.16,33.86,14
197,9700,1413,2026-02-20,11.45,5.91,65.10,63.17,9
198,8839,399,,392.9,,33.18,47.70,18
199,8603,863,02 Jan 2025,,n/a,53.73,56.54,19
200,8049,146,2025-12-17,475.08,5.32,59.79,67.55,8
201,8643,1049,2026-02-11,472.39,4.65,47.34,51.40,13
202,6004,1022,2025-08-12,460.33,9.23,51.47,58.40,14
203,7963,1317,2025-10-10,799.56,12.19,58.10,70.02,12
204,2545,1469,2025-06-03,813.37,8.24,61.44,69.30,15
205,2252,1441,2025-10-24,542.1,4.49,46.88,55.81,16
206,6986,577,2025-02-24,627.0,5.91,52.56,59.59,11
207,5015,8878,2026-01-09,10.07,4.99,47.18,60.04,15
208,7859,1072,2025-06-09,811.5,9.21,52.93,67.62,9
209,11478,11860,0000-00-00,231.65,10.81,43.58,61.41,9
210,11506,621,2025-11-06,<1,3.23,42.20,47.02,13
211,1445,453,2025-03-12,187.82,10.51,40.76,60.99,13
212,11524,442,"March 21, 2025",408.23,8.92,74.96,87.06,8
213,438,20,2025-06-09,546.18,8.92,36.64,36.74,18
214,6665,984,26 Apr 2025,601.64,11.41,81.68,90.55,7
215,7782,276,2025-11-30,666.32,6.46,63.50,49.84,15
216,4775,144,24/03/2025,173.47,8.63,65.76,77.79,15
217,1333,577,2025-08-30,622.15,11.51,58.97,62.20,12
218,6180,1226,2025-10-24,920.53,7.44,64.21,49.30,
219,2044,106,2024-10-08,454.29,5.14,55.30,53.97,9
220,2882,741,03/10/2024,315.08,9.83,72.95,77.67,14
221,997,890,2025-06-01,456.64,7.07,31.46,52.71,17
222,842,679,18/06/2024,356.0,10.55,46.74,55.05,14
223,10715,157,05 Aug 2025,527.55,3.86,62.76,77.73,10
224,1614,657,03 Dec 2025,7.07,12.28,55.36,60.93,9
225,685,864,2024-07-20,714.93,2.91,71.91,74.78,5
226,10546,785,2025-04-05,796.38,10.24,47.22,72.61,-3
227,3362,117,2024-12-20,423.34,1.01,39.59,53.26,21
228,7304,107,2024-08-24,335.8,6.97,53.64,82.55,16
229,123,710,2025-07-23,615.94,4.77,70.37,69.23,10
230,1125,590,2025-03-05,876.23,3.23,41.50,45.34,18
231,10794,810,2026-03-06,590.44,,71.31,70.11,5
232,11577,881,2024-12-30,611.16,4.52,56.03,69.59,8
233,11803,447,2025-13-05,316.07,2.16,37.06,57.63,13
234,5954,587,2025-10-23,487.43,5.12,65.37,,13
235,4196,230,"July 23, 2024",493.43,3.5,59.39,68.55,8
236,9068,149,2025-04-30,652.45,3.11,53.63,88.43,7
237,3751,246,2025-09-11,458.43,7.86,59.28,64.17,13
239,10144,1186,"May 02, 2025",305.06,>60,39.82,37.91,14
240,9672,633,08-26-2025,7.91,4.54,58.02,76.31,15
241,1615,770,2025-05-09,644.22,6.87,72.12,72.60,14
242,5805,771,2025-09-02,361.89,13.98,67.34,73.40,11
244,8670,1492,2025-04-11,142.84,9.1,,48.48,17
246,7560,862,2026-02-20,692.15,>60,43.78,28.22,9
247,2973,216,2026-02-20,698.95,5.12,58.37,62.83,15
248,4296,438,05-15-2025,417.94,16.43,83.48,-35.03,3
249,11876,908,"December 08, 2025",9.78,9.75,56.59,55.15,10
252,10238,1096,2026-02-04,549.22,13.7,61.90,68.46,12
253,10591,785,2025-01-13,578.8,8.85,56.59,71.16,8
254,2144,1260,27 Sep 2025,731.61,4.03,84.41,98.41,6
255,9955,307,2024-12-17,535.35,3.12,42.10,44.61,9
256,4706,1216,03/01/2025,515.66,4.43,76.38,92.06,10
257,10322,844,2025-08-15,615.04,3.68,24.83,50.24,21
258,4464,372,2025-12-01,601.29,11.37,45.12,35.55,10
259,2132,1170,2025-04-02,692.3,9.07,63.68,77.24,4
260,28,795,"June 06, 2025",424.44,1.64,60.56,138.85,12
261,2635,810,2025-11-28,898.44,,40.91,55.18,10
262,11036,396,06-27-2024,653.33,5.22,58.25,73.55,10
263,3013,247,2025-01-06,418.34,16.52,60.06,64.24,12
264,3230,806,2026-04-08,559.13,,,48.07,14
265,5173,1499,2025-08-26,727.76,2.5,62.30,,9
266,4624,1428,2024/10/22 00:00:00,583.43,2.01,63.41,66.88,8
267,11034,1211,2025-09-22,579.98,7.33,55.30,59.62,8
268,7183,805,2024-12-11,259.26,8.94,57.48,56.63,8
269,3256,1214,2025-07-26,403.92,7.98,55.66,95.44,23
270,9809,1021,2025-07-31,721.96,5.96,66.51,249.66,
271,4995,106,2025-02-05,724.13,2.7,42.41,38.68,9
272,5867,299,22 Jan 2025,440.79,7.49,62.56,66.27,13
273,1161,815,2025-09-16,635.96,2.2,91.15,91.43,4
274,7652,147,2024-12-26,472.76,5.2,61.47,73.85,13
276,3167,946,2025/03/14 00:00:00,830.62,14.62,75.96,75.05,10
277,3338,408,2026-06-14,916.81,6.93,54.78,57.65,7
278,8772,1088,0000-00-00,566.04,3.49,53.61,56.51,15
279,10593,610,2025-12-24,615.28,11.15,37.17,51.18,9
280,734,761,2025-08-13,349.44,5.9,44.65,63.90,12
281,4820,824,2025-12-05,747.38,2.68,55.35,59.76,8
282,2788,453,2025-12-03,446.02,11.82,54.37,67.43,9
283,9882,1247,07 Jan 2025,359.34,11.79,38.36,39.40,19
284,10887,351,2025-05-18,566.98,not recorded,68.20,79.54,9
285,972,1073,2025-12-18,624.62,,65.05,57.02,12
286,4034,1197,2025/10/06 00:00:00,415.35,13.63,51.47,70.07,8
287,355,1039,2025-03-18,551.97,3.95,73.90,71.78,8
288,2715,107,2025-08-27,434.2,,53.72,53.90,16
289,5275,885,2026-03-21,364.72,5.19,48.57,62.01,9
290,11937,252,13/08/2025,301.19,11.89,41.46,45.09,17
291,5074,157,2024/09/19 00:00:00,933.07,,56.80,75.17,9
292,999,1396,2026/01/31 00:00:00,468.73,5.04,76.86,90.05,11
293,89,648,N/A,5.79,2.85,66.27,67.76,16
294,8555,570,2025-08-03,611.09,8.0,47.71,60.00,15
295,9777,99,2026-04-10,585.58,20.34,56.54,74.49,10
296,7997,1219,2026/03/19 00:00:00,694.98,11.52,39.95,43.73,14
297,8651,923,2024-12-04,,4.92,59.52,59.43,8
298,4823,18987,2026-01-17,607.47,1.98,51.94,58.32,11
299,6563,832,2025-12-22,576.94,5.99,62.42,60.57,15
300,7668,35133,"November 14, 2025",912.71,7.34,43.60,54.65,12
301,4466,267,07-08-2025,924.64,4.87,66.90,59.96,5
302,3343,104,26/08/2025,700.36,5.55,0.53,61.89,5
303,1877,664,22/12/2025,13.84,1.49,57.42,62.38,10
304,963,1184,2025-07-29,353.62,10.93,40.01,55.01,13
305,3751,233,2025-11-24,403.65,6.51,-10.24,75.30,
306,9503,102,2025-09-30,332.46,1.63,48.18,51.42,17
308,804,658,N/A,8.21,11.0,50.96,53.62,11
309,44,838,09-22-2025,677.99,16.76,31.17,32.06,10
310,4097,212,2025-06-01,625.15,2.67,60.58,84.72,15
311,1748,1022,28/05/2025,496.61,,58.05,59.36,8
312,1848,975,2025/07/12 00:00:00,794.72,4.01,385.15,82.87,14
313,5797,117,2025-10-04,547.34,1.21,,69.10,11
314,10986,869,2025-02-25,486.66,13.32,44.95,52.71,15
317,1127,596,2025-06-18,341.75,13.52,48.24,63.41,13
318,10933,1185,2026-06-19,227.44,8.86,43.19,58.51,21
319,8149,789,2024/07/22 00:00:00,682.55,7.22,563.92,77.37,15
320,7943,1356,2024-10-08,302.21,2.51,61.23,75.47,19
321,536,270,2026-03-26,653.28,<1,51.05,31.35,8
322,9114,1030,2025-02-10,423.66,6.65,58.90,65.14,9
323,781,390,"February 06, 2026",,7.77,49.04,42.06,15
324,10750,198,2026-01-01,310.16,9.47,64.22,63.23,12
326,6976,642,2024-08-24,13.82,3.97,49.17,52.85,13
327,4819,1010,2025-12-30,9.92,9.86,65.96,69.71,15
328,9596,209,11-22-2025,>60,,55.63,60.53,11
329,7093,1486,31/02/2025,339.81,9.57,27.09,63.62,14
330,3762,390,2025-03-20,703.63,5.92,51.17,,11
331,4846,603,2024-11-05,206.5,6.2,14.83,41.96,
332,8045,1437,2026-01-21,414.71,,78.49,72.77,10
333,2565,689,2025-06-05,860.2,4.89,-3.62,96.21,6
334,3566,352,2025-09-12,222.79,10.69,53.04,60.18,18
335,4911,885,2025-12-30,719.4,<1,42.38,57.46,12
336,99602,593,2026-02-11,,5.77,62.95,65.07,8
337,1894,1440,2025-06-22,684.16,5.36,52.08,79.24,12
338,7973,928,2025-03-22,10.11,5.51,51.85,68.67,16
339,8980,299,"February 10, 2026",566.88,6.81,41.75,38.71,5
340,8758,305,2026-02-16,396.58,9.29,48.08,50.02,10
341,11105,593,2025/04/25 00:00:00,809.94,7.42,51.22,33.60,15
342,5575,345,2025-07-20,564.13,7.24,48.55,69.32,22
344,9998,1261,2025-10-09,494.02,5.19,50.01,50.55,11
345,4998,1236,23/12/2024,628.45,7.75,57.18,65.95,13
346,6923,1218,2025-02-07,480.31,4.49,69.80,67.89,14
347,1016,712,2025-02-12,636.19,7.5,57.52,50.71,6
348,11861,1476,2025-02-24,325.82,3.53,60.17,,15
349,2254,842,2025-04-14,328.89,12.56,50.10,53.56,13
350,11115,216,2025-06-07,566.74,,,80.96,11
351,3359,1458,04/02/2026,725.39,9.84,,38.37,8
353,1777,886,2026-05-07,793.91,7.1,39.01,-28.81,
354,7067,152,2026-03-12,651.67,,59.48,75.05,9
355,7129,458,2025-08-23,316.43,6.74,44.09,66.83,15
356,11863,1174,2024-10-13,456.63,6.05,72.48,83.58,11
357,2174,198,17 Jul 2025,424.43,5.07,76.54,83.72,8
358,5906,1454,2025-08-13,455.09,8.91,47.76,59.06,14
359,4412,671,2025-08-28,409.95,7.82,64.34,73.84,8
360,10000,820,2025-03-31,658.99,,58.76,76.19,10
361,11580,231,2025-05-23,652.71,not recorded,69.54,71.28,5
362,11276,111,2025-08-18,508.33,,47.26,58.81,13
363,536,268,2025-07-13,747.34,6.17,47.07,54.96,14
364,1848,406,2025-02-11,790.8,5.81,63.77,60.89,14
365,3922,184,2025-13-05,586.77,1.94,50.66,53.14,7
366,4568,821,2025-06-22,357.55,,50.09,89.65,20
368,10432,597,2025-04-24,473.27,12.04,35.10,51.76,11
369,1907,264,04/07/2025,479.7,7.52,51.28,48.56,10
370,77054,1111,27 Oct 2024,9.12,2.29,83.99,-18.19,5
371,9653,678,2025-04-02,802.03,8.06,71.43,68.82,6
372,6071,529,"August 17, 2025",505.83,12.61,60.17,75.35,11
373,1400,1345,2025-12-27,797.87,,60.31,59.08,13
374,8047,1250,2024/10/29 00:00:00,596.76,2.35,60.77,74.90,14
375,385,84,2025/08/14 00:00:00,819.07,11.35,42.18,33.48,10
376,7275,302,2024-10-29,90.59,7.1,27.78,39.51,18
377,8008,115,2025-01-13,--,7.56,35.07,44.13,18
378,1662,652,2025/04/13 00:00:00,8.19,10.88,75.53,83.82,13
